"title", price, sold, size, url
"Stio Kids Winter Insulated Jacket Size 8", $139.99, Available, Unknown, https://www.ebay.com/itm/Stio-Kids-Winter-Insulated-Jacket-Size-8/333599645372?hash=item4dac169ebc:g:iCYAAOSwXSVevtse
"Stio Mens XL Rain Shell - Blue", $100.00, Available, Unknown, https://www.ebay.com/itm/Stio-Mens-XL-Rain-Shell-Blue/274366117903?hash=item3fe17eb80f:g:ga8AAOSwIrtevbdW
"STIO Women's Pants Coburn Jogger Gray Stretch Size 10 Z7", $42.25, Available, Unknown, https://www.ebay.com/itm/STIO-Womens-Pants-Coburn-Jogger-Gray-Stretch-Size-10-Z7/153932284203?hash=item23d714412b:g:TOgAAOSwhelescCO
"Stio Mens XL Snap Button Skiier Print Green Western Polyester Long Sleeve Shirt", $39.95, Available, Unknown, https://www.ebay.com/itm/Stio-Mens-XL-Snap-Button-Skiier-Print-Green-Western-Polyester-Long-Sleeve-Shirt/133410488337?hash=item1f0fe28011:g:JC8AAOSwNuBevOya:sc:USPSFirstClass!94024!US!-1
"STIO CFS Board Pants Lightweight Outdoor Hiking Climbing Men's Size 34 EUC", $89.99, Available, Unknown, https://www.ebay.com/itm/STIO-CFS-Board-Pants-Lightweight-Outdoor-Hiking-Climbing-Mens-Size-34-EUC/293578235273?hash=item445aa05d89:g:15MAAOSw9CNeu0ye
"2019 Topps Allen & Ginter MINI Cards ~ Pick your card", $0.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-MINI-Cards-Pick-your-card/324164487688?hash=item4b79b58a08:g:cGkAAOSwx5le4YO5
"2019 Topps Allen & Ginter BASE Cards (1-200) ~ Pick your card", $0.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-BASE-Cards-1-200-Pick-your-card/324163510712?hash=item4b79a6a1b8:g:IUAAAOSwzFFe4YNc
"2019 Topps Allen and Ginter X #156 Vincent Stio - NM-MT", $0.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-and-Ginter-X-156-Vincent-Stio-NM-MT/313079899814?hash=item48e50426a6:g:2EEAAOSwuMVeudD3
"2019 Topps Allen and Ginter Mini A and G Back #156 Vincent Stio", $1.80, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-and-Ginter-Mini-A-and-G-Back-156-Vincent-Stio/313079899389?hash=item48e50424fd:g:1PsAAOSw6npeudDq
"2019 Topps Allen and Ginter Mini #156 Vincent Stio", $1.35, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-and-Ginter-Mini-156-Vincent-Stio/164195125677?hash=item263acac9ad:g:NlAAAOSw~HheudDo
